Date,Open,Close,High,Low,Volume
2-Aug-18,1788.77002,1834.329956,1836.560059,1786,4354700
3-Aug-18,1837.73999,1823.290039,1841,1821.5,3460500
6-Aug-18,1825.810059,1847.75,1847.77002,1818.920044,3391800
7-Aug-18,1854.530029,1862.47998,1869.719971,1846.27002,3377500
8-Aug-18,1861,1886.52002,1891.51001,1854.5,3963000
9-Aug-18,1882,1898.52002,1914.569946,1877.47998,4860400
10-Aug-18,1888.51001,1886.300049,1899.5,1878.209961,3639900
13-Aug-18,1898.5,1896.199951,1925,1893.670044,5531500
14-Aug-18,1919.390015,1919.650024,1921.01001,1900,3986100
15-Aug-18,1909.550049,1882.619995,1916.209961,1869.790039,7700700
16-Aug-18,1903.939941,1886.52002,1905,1883.550049,3957100
17-Aug-18,1885.800049,1882.219971,1888,1855.550049,4104300
20-Aug-18,1890.569946,1876.709961,1891.75,1866.060059,2862000
21-Aug-18,1880,1883.420044,1897.75,1874.410034,3105600
22-Aug-18,1876.640015,1904.900024,1905.800049,1876.640015,3080500
23-Aug-18,1907.170044,1902.900024,1919.5,1900.76001,3563000
24-Aug-18,1910.51001,1905.390015,1916.01001,1902.540039,2800900
27-Aug-18,1915,1927.680054,1927.699951,1909.280029,3569000
28-Aug-18,1937.72998,1932.819946,1941.780029,1928.819946,3100700
29-Aug-18,1953.449951,1998.099976,1998.689941,1948.939941,6531800
30-Aug-18,1997.420044,2002.380005,2025.569946,1986.900024,7277300
31-Aug-18,2007,2012.709961,2022.380005,2004.73999,4204400
4-Sep-18,2026.5,2039.51001,2050.5,2013,5721100
5-Sep-18,2038.109985,1994.819946,2040.380005,1989.890015,8220600
6-Sep-18,2006.51001,1958.310059,2007.5,1935.209961,7488700
7-Sep-18,1938.709961,1952.069946,1975.199951,1937.349976,4892600
10-Sep-18,1971,1939.01001,1973.040039,1931.52002,4544800
11-Sep-18,1928.27002,1987.150024,1988.880005,1917,5033600
12-Sep-18,1994,1990,2000,1962.439941,4414000
